Source,Target,Weight,total,NoJobs,SIC,SICsector,Postcode
Northern Ireland,Mid Ulster,"16,400","41,000",0,16230,Manufacturing,BT45 8HG
Northern Ireland,Antrim and Newtownabbey,"13,504","48,226",0,27120,Manufacturing,BT36 4EW
Northern Ireland,Ards and North Down,"50,000","130,000",2,46310,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT23 6PT
Northern Ireland,Lisburn and Castlereagh,"38,328","85,174",0,20412,Manufacturing,BT8 8AN
Northern Ireland,Mid Ulster,"170,000","1,342,000",17,28923,Manufacturing,BT70 2NG
Northern Ireland,Antrim and Newtownabbey,"20,000","20,000",0,32990,Manufacturing,
Northern Ireland,Belfast,250,500,0,25620,Manufacturing,BT12 7GF
Northern Ireland,Causeway Coast and Glens,"72,872","254,780",2,16230,Manufacturing,BT56 8NE
Great Britain,Belfast,"309,207","1,144,000",0,62020,Information And Communication,BT9 5FL
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Causeway Coast and Glens,"12,800","54,990",1,82990,Administrative And Support Service Activities,BT51 5ER
Northern Ireland,Lisburn and Castlereagh,"9,360","40,250",0,43220,Construction,BT28 2BP
Northern Ireland,Lisburn and Castlereagh,"3,025","6,050",0,71111,"Professional, Scientific And Technical Activities",BT27 5PL
Northern Ireland,Derry City and Strabane,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"20,000","20,000",0,20590,Manufacturing,BT9 5AG
Northern Ireland,Ards and North Down,"4,850","9,700",0,46160,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT19 7PD
Northern Ireland,Mid Ulster,"9,790","33,430",0,31020,Manufacturing,BT80 9AR
Northern Ireland,Mid and East Antrim,"20,000","20,000",0,82990,Administrative And Support Service Activities,BT43 7QA
Northern Ireland,Antrim and Newtownabbey,"42,000","234,000",6,32990,Manufacturing,BT39 9UF
Northern Ireland,Derry City and Strabane,"20,000","20,000",0,85590,Education,BT48 7TG
Northern Ireland,Lisburn and Castlereagh,"7,637","19,790",0,27120,Manufacturing,BT8 7RH
Northern Ireland,Mid and East Antrim,"10,280","22,360",0,32990,Manufacturing,BT42 3HB
Northern Ireland,Fermanagh and Omagh,"20,000","20,000",0,70229,"Professional, Scientific And Technical Activities",BT92 0PE
Northern Ireland,Causeway Coast and Glens,"18,054","45,134",0,30120,Manufacturing,BT44 0TE
Northern Ireland,Antrim and Newtownabbey,"4,400","11,000",0,32990,Manufacturing,BT39 9UF
Northern Ireland,Belfast,"20,000","20,000",0,62020,Information And Communication,BT10 0HX
Northern Ireland,Causeway Coast and Glens,"3,000","6,000",0,29201,Manufacturing,BT44 8RF
Northern Ireland,Belfast,"49,000","250,000",7,18129,Manufacturing,BT3 9JP
Northern Ireland,"Newry, Mourne and Down","2,000","5,000",0,62020,Information And Communication,BT35 9JH
Northern Ireland,Belfast,"79,480","198,700",0,18129,Manufacturing,BT3 9JP
Northern Ireland,"Armagh City, Banbridge and Craigavon","35,000","172,000",5,27900,Manufacturing,BT66 8BY
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid and East Antrim,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Causeway Coast and Glens,"33,348","219,960",7,29202,Manufacturing,BT46 5QZ
Northern Ireland,"Armagh City, Banbridge and Craigavon","4,100","8,200",0,18121,Manufacturing,BT66 8DH
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid and East Antrim,"20,172","41,880",0,15200,Manufacturing,BT38 7AR
Northern Ireland,Belfast,"7,500","20,850",0,62010,Information And Communication,BT1 6JH
Northern Ireland,Mid and East Antrim,"5,000","12,000",0,11050,Manufacturing,BT3 9HB
Northern Ireland,Ards and North Down,"4,320","8,640",0,80200,Administrative And Support Service Activities,BT3 9HB
Northern Ireland,"Newry, Mourne and Down","4,334","11,920",0,33130,Manufacturing,BT35 9TR
Northern Ireland,"Newry, Mourne and Down","49,891","83,151",0,21200,Manufacturing,BT34 3FN
Northern Ireland,Ards and North Down,"7,000","36,000",1,70229,"Professional, Scientific And Technical Activities",BT18 9AB
Northern Ireland,Belfast,"10,584","21,600",0,30110,Manufacturing,BT3 9ED
Northern Ireland,Mid Ulster,"5,152","14,840",0,63990,Information And Communication,BT71 7LA
Northern Ireland,"Newry, Mourne and Down","98,000","529,000",14,25730,Manufacturing,BT34 4AX
Northern Ireland,Mid and East Antrim,"8,000","20,000",0,71121,"Professional, Scientific And Technical Activities",BT44 8AG
Northern Ireland,Causeway Coast and Glens,"336,900","2,446,000",42,25620,Manufacturing,BT51 5TE
Northern Ireland,"Armagh City, Banbridge and Craigavon","7,600","20,000",0,27900,Manufacturing,BT66 8BY
India,Belfast,"42,134","93,632",0,62010,Information And Communication,BT1 2FJ
Northern Ireland,Derry City and Strabane,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Lisburn and Castlereagh,"154,788","442,250",0,28920,Manufacturing,BT28 2EX
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Causeway Coast and Glens,"2,450","4,900",0,28302,Manufacturing,BT51 4ED
Northern Ireland,Causeway Coast and Glens,"4,750","9,500",0,25620,Manufacturing,BT51 5TE
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"16,648","41,620",2,62090,Information And Communication,BT12 5GH
Northern Ireland,Belfast,"34,679","115,598",0,18129,Manufacturing,BT5 6QU
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"7,538","15,076",0,30990,Manufacturing,BT48 7TG
Northern Ireland,Mid Ulster,"40,000","245,200",8,25990,Manufacturing,BT45 8JN
Northern Ireland,Belfast,"12,197","24,394",0,30300,Manufacturing,BT35 8XF
Northern Ireland,Mid and East Antrim,"21,000","102,000",3,32990,Manufacturing,BT42 3HB
Northern Ireland,Mid and East Antrim,"3,000","21,000",0,32990,Manufacturing,BT42 3HB
Northern Ireland,Mid and East Antrim,"15,000","36,000",0,25120,Manufacturing,BT42 3AZ
Northern Ireland,"Newry, Mourne and Down","14,000","48,080",2,82990,Administrative And Support Service Activities,BT24 7JG
Northern Ireland,Mid and East Antrim,"49,000","240,000",7,77291,Administrative And Support Service Activities,BT41 4NN
Northern Ireland,Belfast,"9,696","88,880",0,14190,Manufacturing,BT9 5HP
Northern Ireland,"Newry, Mourne and Down","20,142","46,788",0,70229,"Professional, Scientific And Technical Activities",BT34 5US
Northern Ireland,"Newry, Mourne and Down","8,968","19,136",0,62020,Information And Communication,BT34 1BA
Northern Ireland,"Newry, Mourne and Down","24,000","276,000",8,10120,Manufacturing,BT30 6ED
Northern Ireland,Mid Ulster,"13,666","42,565",1,28250,Manufacturing,BT70 3JN
Northern Ireland,"Armagh City, Banbridge and Craigavon","14,000","68,000",2,38110,"Water Supply; Sewerage, Waste Management And Remediation Activities",BT60 3TU
Northern Ireland,Ards and North Down,"3,576","7,152",0,25110,Manufacturing,BT19 7PG
Northern Ireland,Mid Ulster,"4,604","9,207",0,38320,"Water Supply; Sewerage, Waste Management And Remediation Activities",
Irish Republic,Belfast,"87,000","490,000",9,92000,Information & Communication,BT7 1HT 
Northern Ireland,Mid Ulster,"4,400","8,800",0,11050,Manufacturing,BT70 3LH
Northern Ireland,Belfast,"7,350","15,000",0,62020,Information And Communication,BT1 6JH
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,BT12 5EU
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96020,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"3,375","6,750",0,10200,Manufacturing,BT13 2JR
Northern Ireland,"Newry, Mourne and Down","40,000","187,000",2,10910,Manufacturing,BT60 2UF
Northern Ireland,Causeway Coast and Glens,"10,208","27,040",0,20412,Manufacturing,BT49 0HE
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid and East Antrim,"49,168","185,740",1,10200,Manufacturing,BT44 0BD
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,400","2,800",0,28920,Manufacturing,BT71 6LA
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Antrim and Newtownabbey,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,"Armagh City, Banbridge and Craigavon","422,000","4,059,000",10,22290,Manufacturing,BT61 8AE
Northern Ireland,Belfast,"14,000","64,000",2,70229,"Professional, Scientific And Technical Activities",BT4 3TA
Northern Ireland,Derry City and Strabane,"20,000","20,000",0,63990,Information And Communication,
Northern Ireland,Fermanagh and Omagh,"1,000","9,000",1,82990,Administrative And Support Service Activities,
Northern Ireland,Belfast,"1,000","18,000",2,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"14,000","69,600",2,62010,Information And Communication,BT48 7AB
Northern Ireland,Derry City and Strabane,"49,500","388,000",9,24200,Manufacturing,BT47 6TP
Northern Ireland,Mid Ulster,"12,208","56,650",0,25620,Manufacturing,BT71 4QH
Northern Ireland,Belfast,"26,525","46,535",0,70229,"Professional, Scientific And Technical Activities",BT4 3TA
Northern Ireland,Belfast,"1,203","2,406",0,25610,Manufacturing,BT6 9HU
Northern Ireland,Causeway Coast and Glens,"15,920","39,800",1,43210,Construction,BT53 6LE
Northern Ireland,Belfast,"35,340","219,550",4,38220,"Water Supply; Sewerage, Waste Management And Remediation Activities",BT11 8BU
Northern Ireland,Lisburn and Castlereagh,"6,615","13,500",0,69201,"Professional, Scientific And Technical Activities",BT2 7GA
Northern Ireland,Belfast,"14,000","70,000",2,59132,Information And Communication,BT9 7EY
Northern Ireland,Fermanagh and Omagh,528,"1,055",0,22290,Manufacturing,BT94 5PG
Northern Ireland,Belfast,"22,757","79,375",0,31090,Manufacturing,BT7 3GZ
Northern Ireland,Ards and North Down,378,756,0,70229,"Professional, Scientific And Technical Activities",BT20 5HR
Northern Ireland,Mid Ulster,"35,000","190,000",5,23700,Manufacturing,BT70 1TZ
Northern Ireland,Belfast,"35,368","88,420",2,20590,Manufacturing,BT3 9DT
United States,Antrim and Newtownabbey,"3,615,000","35,371,000",241,26511,Manufacturing,BT41 1QS
Northern Ireland,Causeway Coast and Glens,"12,496","31,416",0,23610,Manufacturing,BT47 4QJ
Northern Ireland,"Newry, Mourne and Down",850,"1,700",0,20160,Manufacturing,
Northern Ireland,Belfast,"20,000","20,000",0,74909,"Professional, Scientific And Technical Activities",BT37 0QB
Northern Ireland,Causeway Coast and Glens,"49,000","226,000",7,23610,Manufacturing,BT47 4QJ
Northern Ireland,Belfast,"22,928","71,640",1,71111,"Professional, Scientific And Technical Activities",BT5 4GS
Northern Ireland,Mid Ulster,"90,000","464,000",6,31010,Manufacturing,BT41 3SE
Germany,Belfast,"35,200","422,835",6,20590,Manufacturing,BT3 9LL
Northern Ireland,"Newry, Mourne and Down","20,000","20,000",0,62010,Information And Communication,BT34 1QH
Northern Ireland,Belfast,"9,000","18,000",0,32500,Manufacturing,BT3 9LE
Northern Ireland,"Newry, Mourne and Down","20,000","20,000",0,24330,Manufacturing,
Northern Ireland,"Newry, Mourne and Down","20,000","20,000",0,62020,Information And Communication,BT34 1QH
Northern Ireland,Belfast,"17,424","44,560",1,18129,Manufacturing,BT5 6QP
Northern Ireland,Belfast,"4,973","11,625",0,73110,"Professional, Scientific And Technical Activities",BT7 1NR
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"22,000","95,000",1,93199,"Arts, Entertainment And Recreation",BT41 3SE
Northern Ireland,Belfast,"1,000","9,000",1,82990,Administrative And Support Service Activities,BT1 3LT
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Antrim and Newtownabbey,"19,200","48,000",1,18130,Manufacturing,BT36 4EW
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid and East Antrim,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"5,000","10,400",0,27520,Manufacturing,BT28 2TH
Northern Ireland,Belfast,"7,000","32,000",1,70229,"Professional, Scientific And Technical Activities",
Northern Ireland,Derry City and Strabane,"30,000","181,000",6,14190,Manufacturing,BT48 0LY
Northern Ireland,"Armagh City, Banbridge and Craigavon","2,125","4,250",0,22210,Manufacturing,BT66 6NE
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,250","2,500",0,22210,Manufacturing,BT66 6NE
Northern Ireland,Fermanagh and Omagh,"2,750","5,500",0,31020,Manufacturing,BT79 0NB
Northern Ireland,"Newry, Mourne and Down","49,000","245,500",6,62010,Information And Communication,BT3 9DT
Northern Ireland,"Armagh City, Banbridge and Craigavon","34,000","125,000",3,15120,Manufacturing,BT25 2PJ
Northern Ireland,"Newry, Mourne and Down","2,499","5,100",0,71129,"Professional, Scientific And Technical Activities",BT35 6JQ
Northern Ireland,Lisburn and Castlereagh,"96,000","528,500",16,22210,Manufacturing,BT28 2FW
Northern Ireland,Belfast,"2,100","4,200",0,71111,"Professional, Scientific And Technical Activities",BT2 8LE
Italy,Mid Ulster,"48,644","121,610",2,27900,Manufacturing,BT80 9AR
Northern Ireland,Mid Ulster,"2,865","5,730",0,42990,Construction,BT80 9DZ
Northern Ireland,Lisburn and Castlereagh,"5,000","11,400",0,46450,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT8 8AN
Northern Ireland,Antrim and Newtownabbey,"21,350","35,584",0,82990,Administrative And Support Service Activities,BT39 9AU
Northern Ireland,Mid Ulster,"29,187","48,645",0,10910,Manufacturing,BT71 6HW
Northern Ireland,Fermanagh and Omagh,"11,417","38,058",0,18129,Manufacturing,BT74 4RL
Northern Ireland,Belfast,"3,325","6,650",0,66220,Financial And Insurance Activities,BT2 7GS
Northern Ireland,Lisburn and Castlereagh,750,"1,500",0,29320,Manufacturing,BT67 0LT
Northern Ireland,Fermanagh and Omagh,"20,000","20,000",0,81229,Administrative And Support Service Activities,BT94 3NB
Northern Ireland,Belfast,"7,000","32,000",1,18129,Manufacturing,BT16 1QQ
Northern Ireland,Derry City and Strabane,"28,400","71,000",1,16100,Manufacturing,BT79 0EU
Northern Ireland,Belfast,"8,400","37,500",1,73110,"Professional, Scientific And Technical Activities",BT9 6RY
Northern Ireland,"Newry, Mourne and Down","2,900","5,800",0,16290,Manufacturing,BT35 8SQ
Northern Ireland,"Newry, Mourne and Down","154,000","877,000",22,71129,"Professional, Scientific And Technical Activities",BT35 7NH
Northern Ireland,Belfast,"25,000","90,524",0,82990,Administrative And Support Service Activities,BT3 9AH
Northern Ireland,Ards and North Down,851,"1,890",0,28250,Manufacturing,BT23 4SR
Northern Ireland,Mid Ulster,"2,850","5,700",0,28920,Manufacturing,BT80 9LU
Northern Ireland,Ards and North Down,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"650,000","7,032,000",69,28220,Manufacturing,BT71 6LA
Northern Ireland,Derry City and Strabane,"6,002","14,700",0,59113,Information And Communication,BT48 6PW
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,81210,Administrative And Support Service Activities,
Northern Ireland,Mid Ulster,"5,000","10,000",0,28220,Manufacturing,BT71 6LA
Northern Ireland,Belfast,"21,520","67,800",2,70229,"Professional, Scientific And Technical Activities",BT18 9AU
Northern Ireland,Belfast,"7,350","15,000",0,27520,Manufacturing,BT28 2TH
Great Britain,Belfast,"17,409","43,522",0,71129,"Professional, Scientific And Technical Activities",BT12 5GH
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","3,800","9,500",0,20530,Manufacturing,BT34 3WL
Northern Ireland,Mid Ulster,"1,500","20,000",2,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","42,782","448,020",3,11010,Manufacturing,BT30 9HS
Northern Ireland,"Newry, Mourne and Down","22,920","57,300",3,25990,Manufacturing,BT24 8NF
Great Britain,Belfast,"82,306","274,354",0,62020,Information And Communication,BT9 5FL
Northern Ireland,Mid Ulster,"5,000","31,200",1,28220,Manufacturing,BT71 4DT
Northern Ireland,Belfast,"2,280","5,700",0,18140,Manufacturing,BT13 2EZ
Northern Ireland,"Newry, Mourne and Down","21,000","98,000",3,25620,Manufacturing,BT35 6JR
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"33,044","152,110",2,27900,Manufacturing,BT45 7AG
Northern Ireland,Mid Ulster,"28,000","137,000",4,27900,Manufacturing,BT45 7AG
Northern Ireland,Ards and North Down,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Fermanagh and Omagh,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,"Newry, Mourne and Down","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Causeway Coast and Glens,"47,500","376,000",5,43210,Construction,BT49 0HE
Northern Ireland,Derry City and Strabane,"42,732","131,070",1,85590,Education,BT48 6HH
Northern Ireland,Lisburn and Castlereagh,"10,000","60,140",2,22290,Manufacturing,BT28 2BP
Northern Ireland,Belfast,"80,000","576,000",10,62020,Information And Communication,BT2 8BG
Northern Ireland,Lisburn and Castlereagh,"24,745","54,989",0,25730,Manufacturing,BT23 6BL
Northern Ireland,"Armagh City, Banbridge and Craigavon","19,320","38,640",0,58190,Information And Communication,BT63 5RH
Northern Ireland,Ards and North Down,"17,711","32,201",0,22290,Manufacturing,BT19 7QY
Northern Ireland,Mid Ulster,"2,680","6,700",0,14132,Manufacturing,BT45 6BL
Northern Ireland,Belfast,"36,000","149,500",4,82990,Administrative And Support Service Activities,BT3 9AH
Northern Ireland,Lisburn and Castlereagh,"14,000","35,000",1,13300,Manufacturing,BT28 2RB
Northern Ireland,"Newry, Mourne and Down","29,449","84,140",0,30120,Manufacturing,BT34 4AX
Northern Ireland,Belfast,"70,000","404,000",10,66220,Financial And Insurance Activities,BT17 9AD
Northern Ireland,Causeway Coast and Glens,"6,000","15,000",0,10130,Manufacturing,BT51 5QU
Northern Ireland,Ards and North Down,"19,385","38,770",0,22210,Manufacturing,BT19 7QY
Northern Ireland,Causeway Coast and Glens,"7,964","42,080",0,16290,Manufacturing,BT49 0BD
Northern Ireland,Mid Ulster,"44,032","196,400",2,1629,"Agriculture, Forestry And Fishing",BT45 7PF
Northern Ireland,Causeway Coast and Glens,"48,000","318,358",5,82990,Administrative And Support Service Activities,BT55 7AE
Northern Ireland,Derry City and Strabane,"9,560","23,900",0,23610,Manufacturing,BT47 3RE
Northern Ireland,Causeway Coast and Glens,"9,600","24,000",0,14120,Manufacturing,BT51 5UZ
Northern Ireland,Causeway Coast and Glens,"35,000","182,400",5,25110,Manufacturing,BT51 4HA
Northern Ireland,Belfast,"8,800","32,000",0,29320,Manufacturing,BT5 6QR
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Antrim and Newtownabbey,"1,500","10,000",1,85590,Education,
Northern Ireland,"Newry, Mourne and Down",885,"1,770",0,62010,Information And Communication,BT35 6QH
Northern Ireland,"Newry, Mourne and Down",738,"1,475",0,62010,Information And Communication,BT35 6QH
Northern Ireland,"Newry, Mourne and Down","1,960","3,920",0,93290,"Arts, Entertainment And Recreation",BT35 8JH
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Mid Ulster,"1,500","10,000",1,96090,Other Service Activities,
United States,,"247,948","544,948",0,62010,Information And Communication,
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,750","3,500",0,20160,Manufacturing,BT67 9JD
Northern Ireland,Mid Ulster,"21,000","105,800",3,61200,Information And Communication,BT12 6QH
Northern Ireland,Belfast,"5,000","10,063",0,14190,Manufacturing,BT9 5HP
Northern Ireland,Ards and North Down,"4,000","10,000",0,62020,Information And Communication,BT23 4YH
Northern Ireland,"Armagh City, Banbridge and Craigavon","4,899","9,930",0,96090,Other Service Activities,BT60 3RE
Northern Ireland,"Newry, Mourne and Down","3,135","6,270",0,71121,"Professional, Scientific And Technical Activities",BT34 5YN
Northern Ireland,Mid and East Antrim,825,"1,650",0,82990,Administrative And Support Service Activities,BT38 8GR
Northern Ireland,"Newry, Mourne and Down","69,000","215,000",7,21200,Manufacturing,BT34 3FN
Northern Ireland,Belfast,990,"1,980",0,71129,"Professional, Scientific And Technical Activities",BT7 1FY
Northern Ireland,"Newry, Mourne and Down","1,350","2,700",0,16290,Manufacturing,BT35 8SQ
Northern Ireland,"Newry, Mourne and Down","1,125","2,250",0,11010,Manufacturing,BT30 9HS
Northern Ireland,"Newry, Mourne and Down","32,000","95,000",0,41202,Construction,
Northern Ireland,Antrim and Newtownabbey,"1,100","2,200",0,32990,Manufacturing,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Derry City and Strabane,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,
Irish Republic,Lisburn and Castlereagh,"28,000","70,000",2,28920,Manufacturing,BT28 2EX
Northern Ireland,Belfast,"1,000","9,000",1,96090,Other Service Activities,BT14 8DU
Northern Ireland,"Newry, Mourne and Down","1,000","9,000",1,96090,Other Service Activities,
Irish Republic,Lisburn and Castlereagh,"49,000","266,880",7,28920,Manufacturing,BT28 2EX
Northern Ireland,Fermanagh and Omagh,"1,920","3,840",0,22290,Manufacturing,BT94 5PG
Northern Ireland,Belfast,"49,000","308,000",7,10830,Manufacturing,BT9 7ET
Northern Ireland,Belfast,"7,816","22,332",0,62010,Information And Communication,BT12 6RD
Northern Ireland,Ards and North Down,"9,112","22,106",0,85590,Education,BT1 1PR
Northern Ireland,"Newry, Mourne and Down","1,100","2,200",0,23610,Manufacturing,BT24 7JQ
Northern Ireland,Causeway Coast and Glens,"1,500","10,000",1,96090,Other Service Activities,BT49 0QE
Northern Ireland,Ards and North Down,"3,528","12,005",0,61200,Information And Communication,
Northern Ireland,"Armagh City, Banbridge and Craigavon","1,500","10,000",1,96090,Other Service Activities,
Northern Ireland,Mid and East Antrim,"15,000","50,000",0,25110,Manufacturing,BT42 4RA
Northern Ireland,Antrim and Newtownabbey,"1,000","9,000",1,96090,Other Service Activities,
Northern Ireland,Belfast,"3,664","9,160",0,70210,"Professional, Scientific And Technical Activities",BT9 5GS
Northern Ireland,Fermanagh and Omagh,"3,100","6,200",0,74100,"Professional, Scientific And Technical Activities",BT78 5QJ
Northern Ireland,Fermanagh and Omagh,"25,000","152,000",5,25990,Manufacturing,BT78 5LG
Northern Ireland,Derry City and Strabane,"31,420","93,290",1,25620,Manufacturing,BT47 6SZ
Northern Ireland,Belfast,"49,600","426,000",8,25990,Manufacturing,BT3 9AQ
Northern Ireland,Causeway Coast and Glens,"7,000","36,000",1,82990,Administrative And Support Service Activities,BT53 6RD
Northern Ireland,Belfast,"49,396","153,490",3,72100,"Professional, Scientific And Technical Activities",BT9 5DJ
Northern Ireland,"Armagh City, Banbridge and Craigavon","2,400","6,000",0,71129,"Professional, Scientific And Technical Activities",BT67 0QH
Northern Ireland,"Armagh City, Banbridge and Craigavon","74,100","247,000",2,13921,Manufacturing,BT67 0QS
Northern Ireland,Antrim and Newtownabbey,"7,350","15,000",0,63990,Information And Communication,BT36 4FR
Northern Ireland,"Armagh City, Banbridge and Craigavon","34,000","170,000",3,28302,Manufacturing,BT66 7SJ
Northern Ireland,Mid Ulster,"18,000","156,000",6,14120,Manufacturing,BT71 7HB
Northern Ireland,Belfast,"3,000","7,500",0,55100,Accommodation And Food Service Activities,BT4 1PB
Northern Ireland,"Newry, Mourne and Down",875,"1,750",0,25990,Manufacturing,BT34 3FN
Northern Ireland,Ards and North Down,"30,000","208,000",6,82990,Administrative And Support Service Activities,BT20 4LE
Northern Ireland,Belfast,"10,053","20,225",0,27520,Manufacturing,BT28 2TH
