Source,Target,Weight,total,NoJobs,SIC,SICsector,Postcode
Northern Ireland,Mid and East Antrim,"160,608","1,192,887",0,22230,Manufacturing,BT42 4HX
Northern Ireland,Fermanagh and Omagh,"48,609","81,015",0,28920,Manufacturing,BT79 9HW
Northern Ireland,Belfast,"37,324","93,310",0,20590,Manufacturing,BT3 9JL
Northern Ireland,Belfast,"92,826","232,064",0,62012,Information And Communication,BT14 8AD
United States,Antrim and Newtownabbey,"1,159,054","5,823,350",0,26511,Manufacturing,BT41 1QS
United States,Antrim and Newtownabbey,"212,170","1,023,927",0,26511,Manufacturing,BT41 1QS
Northern Ireland,Derry City and Strabane,"32,440","81,100",0,25610,Manufacturing,BT47 6TR
Northern Ireland,"Armagh City, Banbridge and Craigavon",0,"12,000",4,10890,Manufacturing,BT67 0AZ
Northern Ireland,Ards and North Down,0,"367,720",0,10130,Manufacturing,BT22 2AA
Northern Ireland,Ards and North Down,"16,991","46,597",0,22190,Manufacturing,BT23 6JE
Northern Ireland,"Armagh City, Banbridge and Craigavon","49,000","459,600",11,10710,Manufacturing,BT60 1HW
Northern Ireland,Belfast,"126,725","253,450",0,20130,Manufacturing,BT3 9AR
Great Britain,Belfast,"249,000","2,220,000",31,62020,Information And Communication,BT7 1JL
Northern Ireland,Antrim and Newtownabbey,"6,000","19,000",0,28930,Manufacturing,BT39 9WQ
Northern Ireland,Belfast,"17,824","44,560",0,31010,Manufacturing,BT3 9LA
Northern Ireland,Mid Ulster,"39,296","98,240",2,71129,"Professional, Scientific And Technical Activities",BT45 8JQ
Northern Ireland,Belfast,"72,000","468,000",8,62012,Information And Communication,BT14 8AD
Northern Ireland,Belfast,"376,013","736,065",0,71121,"Professional, Scientific And Technical Activities",BT9 5DJ
Northern Ireland,"Newry, Mourne and Down","94,645","315,483",0,62020,Information And Communication,BT35 8QS
Great Britain,Belfast,"43,124","135,210",2,62012,Information And Communication,BT1 3LG
Northern Ireland,Derry City and Strabane,"46,846","105,853",0,30990,Manufacturing,BT48 7TG
Northern Ireland,Derry City and Strabane,"45,412","91,780",0,63990,Information And Communication,
Northern Ireland,"Armagh City, Banbridge and Craigavon","8,352","27,840",0,30990,Manufacturing,BT61 8BL
Northern Ireland,Mid Ulster,"24,625","50,750",0,28921,Manufacturing,BT80 9DG
Northern Ireland,Lisburn and Castlereagh,"32,296","71,768",0,31090,Manufacturing,BT16 1QT
Northern Ireland,Antrim and Newtownabbey,"47,600","119,000",0,11070,Manufacturing,BT39 9NL
Northern Ireland,"Newry, Mourne and Down","9,937","27,963",0,32300,Manufacturing,BT24 8RH
Northern Ireland,Belfast,0,"113,539",4,10831,Manufacturing,BT13 2JF
Irish Republic,Derry City and Strabane,0,"440,993",2,10410,Manufacturing,BT81 7JQ
Northern Ireland,Ards and North Down,0,"671,318",0,10520,Manufacturing,BT22 1DR
Northern Ireland,Derry City and Strabane,0,"17,250",0,10110,Manufacturing,BT78 4EZ
Northern Ireland,Ards and North Down,0,"104,718",0,10710,Manufacturing,BT22 1HN
Northern Ireland,"Armagh City, Banbridge and Craigavon",0,"124,580",3,10390,Manufacturing,BT61 8PY
Northern Ireland,"Armagh City, Banbridge and Craigavon",0,"123,030",5,10390,Manufacturing,BT71 7JE
Northern Ireland,"Armagh City, Banbridge and Craigavon",0,"1,038,821",5,46310,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,BT63 5WG
Northern Ireland,Mid Ulster,0,"534,000",0,10390,Manufacturing,BT71 7JX
Northern Ireland,"Newry, Mourne and Down",0,"137,695",3,10390,Manufacturing,BT34 4RY
Northern Ireland,"Armagh City, Banbridge and Craigavon",0,"768,150",0,10390,Manufacturing,BT60 1NF
Northern Ireland,Mid Ulster,"6,850","13,980",0,43310,Construction,BT80 9HG
Northern Ireland,Lisburn and Castlereagh,"42,760","85,520",0,28220,Manufacturing,BT28 2EU
Northern Ireland,Fermanagh and Omagh,"5,324","22,710",0,74100,"Professional, Scientific And Technical Activities",BT78 5QJ
Northern Ireland,Antrim and Newtownabbey,"22,354","49,676",0,28290,Manufacturing,BT41 2RN
Northern Ireland,Belfast,"82,513","153,264",0,10310,Manufacturing,BT4 2BJ
Northern Ireland,Lisburn and Castlereagh,"120,542","301,354",0,62012,Information And Communication,BT28 2GN
Northern Ireland,Mid Ulster,"130,884","338,004",0,28920,Manufacturing,BT70 3BW
Northern Ireland,Antrim and Newtownabbey,"689,802","2,318,443",0,23510,Manufacturing,BT51 4PP
Northern Ireland,Fermanagh and Omagh,"12,919","28,210",0,18129,Manufacturing,BT74 4RL
Northern Ireland,Lisburn and Castlereagh,"134,768","449,225",0,42990,Construction,BT26 6HX
Northern Ireland,Ards and North Down,"28,000","168,000",4,70210,"Professional, Scientific And Technical Activities",BT18 9AB
United States,Belfast,"211,413","744,644",0,62020,Information And Communication,
United States,Antrim and Newtownabbey,"1,212,387","4,861,351",0,26511,Manufacturing,BT41 1QS
Northern Ireland,Belfast,"30,000","206,000",6,62010,Information And Communication,BT1 2QS
Northern Ireland,Mid Ulster,"199,947","451,154",0,10910,Manufacturing,BT70 1LF
