ID
Mid and East Antrim
Mid Ulster
Mid Ulster
Belfast
Antrim and Newtownabbey
Belfast
Lisburn and Castlereagh
"Armagh City, Banbridge and Craigavon"
Mid Ulster
Belfast
Antrim and Newtownabbey
"Armagh City, Banbridge and Craigavon"
Lisburn and Castlereagh
Mid Ulster
Mid and East Antrim
Derry City and Strabane
Belfast
Mid Ulster
Mid Ulster
Lisburn and Castlereagh
Belfast
Lisburn and Castlereagh
Belfast
Mid and East Antrim
Fermanagh and Omagh
Belfast
Belfast
Belfast
"Armagh City, Banbridge and Craigavon"
Mid and East Antrim
"Armagh City, Banbridge and Craigavon"
Mid and East Antrim
Belfast
Causeway Coast and Glens
Belfast
Belfast
Derry City and Strabane
Derry City and Strabane
Mid and East Antrim
Mid Ulster
Antrim and Newtownabbey
Derry City and Strabane
Belfast
Derry City and Strabane
Belfast
"Armagh City, Banbridge and Craigavon"
Ards and North Down
Belfast
Mid Ulster
Belfast
Belfast
Mid Ulster
Lisburn and Castlereagh
Belfast
"Armagh City, Banbridge and Craigavon"
Belfast
Antrim and Newtownabbey
Fermanagh and Omagh
Causeway Coast and Glens
"Armagh City, Banbridge and Craigavon"
Mid Ulster
"Armagh City, Banbridge and Craigavon"
"Armagh City, Banbridge and Craigavon"
"Armagh City, Banbridge and Craigavon"
Belfast
Belfast
Mid and East Antrim
Fermanagh and Omagh
Belfast
Belfast
Antrim and Newtownabbey
Antrim and Newtownabbey
Derry City and Strabane
"Armagh City, Banbridge and Craigavon"
Ards and North Down
Ards and North Down
"Armagh City, Banbridge and Craigavon"
Belfast
Belfast
Antrim and Newtownabbey
Belfast
Mid Ulster
Belfast
Belfast
"Newry, Mourne and Down"
Belfast
Derry City and Strabane
Derry City and Strabane
"Armagh City, Banbridge and Craigavon"
Mid Ulster
Lisburn and Castlereagh
Antrim and Newtownabbey
"Newry, Mourne and Down"
Belfast
Derry City and Strabane
Ards and North Down
Derry City and Strabane
Ards and North Down
"Armagh City, Banbridge and Craigavon"
"Armagh City, Banbridge and Craigavon"
"Armagh City, Banbridge and Craigavon"
Mid Ulster
"Newry, Mourne and Down"
"Armagh City, Banbridge and Craigavon"
Mid Ulster
Lisburn and Castlereagh
Fermanagh and Omagh
Antrim and Newtownabbey
Belfast
Lisburn and Castlereagh
Mid Ulster
Antrim and Newtownabbey
Fermanagh and Omagh
Lisburn and Castlereagh
Ards and North Down
Belfast
Antrim and Newtownabbey
Belfast
Mid Ulster
Ards and North Down
Belfast
Mid Ulster
Mid Ulster
Mid and East Antrim
"Armagh City, Banbridge and Craigavon"
Derry City and Strabane
Belfast
Causeway Coast and Glens
Belfast
Mid Ulster
Derry City and Strabane
"Armagh City, Banbridge and Craigavon"
Belfast
Derry City and Strabane
Derry City and Strabane
Mid Ulster
Derry City and Strabane
Derry City and Strabane
"Armagh City, Banbridge and Craigavon"
Antrim and Newtownabbey
Antrim and Newtownabbey
Mid and East Antrim
Belfast
Derry City and Strabane
"Armagh City, Banbridge and Craigavon"
Ards and North Down
"Armagh City, Banbridge and Craigavon"
Lisburn and Castlereagh
Causeway Coast and Glens
Belfast
Mid Ulster
Derry City and Strabane
Lisburn and Castlereagh
Fermanagh and Omagh
Causeway Coast and Glens
Mid Ulster
Belfast
Mid Ulster
Mid and East Antrim
Belfast
"Armagh City, Banbridge and Craigavon"
Lisburn and Castlereagh
Belfast
Mid Ulster
Belfast
Ards and North Down
Mid and East Antrim
Belfast
Derry City and Strabane
Belfast
Mid Ulster
Fermanagh and Omagh
Antrim and Newtownabbey
Mid and East Antrim
Belfast
Lisburn and Castlereagh
"Newry, Mourne and Down"
Fermanagh and Omagh
Fermanagh and Omagh
Mid Ulster
Ards and North Down
Belfast
"Armagh City, Banbridge and Craigavon"
Fermanagh and Omagh
Antrim and Newtownabbey
"Newry, Mourne and Down"
Belfast
