Business Name (Published),Financial Year Offer Made,Total Assistance Offered by Invest NI (£),Total Investment (Includes Invest NI Assistance) £,Conditions of Offer,Jobs to be Created (Assisted),Country of Ownership,Ownership when the offer was made,New / Existing,Constituency in which business was located when offer was made,Council in which business was located when offer was made,SIC Code 5 Digit,SIC Sector,Current Address Line 1,Current Address Line 2, Current Address Line 3,Current Address Line 4,Current Address Line 5,Current Postcode
Maine Metal Services,2013-14,"10,000","176,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,EAST LONDONDERRY,Causeway Coast and Glens,25990,Manufacturing,12 Killyvally Road,Garvagh, ,Coleraine,County Londonderry,BT51 5JZ
Flagstaff Business Improvement Ltd,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,NEWRY AND ARMAGH,"Newry, Mourne and Down",96090,Other Service Activities,9 Ardaveen Avenue, , ,Newry,County Armagh,BT35 8UJ
O3 Group Ltd,2013-14,"20,000","50,000",Other,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,46690,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Forsyth House,Cromac Square, ,Belfast,County Antrim,BT2 8LA
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Hastings Hotels Group Ltd,2013-14,"197,338","768,219",Developing Skills,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,55100,Accommodation And Food Service Activities,1066 House,587 Upper Newtownards Road, ,Belfast,County Down,BT4 3LP
Gray & Adams (Ireland) Limited,2013-14,"14,192","50,346",Developing Skills,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,29201,Manufacturing,Houstons Corner,Ballyearl, ,Newtownabbey,County Antrim,BT36 4TP
Cannon Specialist Vehicles,2013-14,"10,290","22,665",Other,0,Northern Ireland,Local,Existing,WEST TYRONE,Derry City and Strabane,29100,Manufacturing,91 Orchard Road,Sion Mills, ,Strabane,County Tyrone,BT82 9QU
W. H. Scott & Son (Engineers) Limited,2013-14,"17,614","38,093",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,71129,"Professional, Scientific And Technical Activities",Unit 6 Highgate Business Park,16-44 Trench Road, ,Mallusk,County Antrim,BT36 4TY
Varifed Ltd,2013-14,"4,000","10,000",Other,0,Northern Ireland,Local,New,SOUTH ANTRIM,Antrim and Newtownabbey,32990,Manufacturing,Ceased Trading,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,FERMANAGH AND SOUTH TYRONE,Mid Ulster,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,FERMANAGH AND SOUTH TYRONE,Mid Ulster,47240,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,FERMANAGH AND SOUTH TYRONE,Mid Ulster,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,MID ULSTER,Mid Ulster,96090,Other Service Activities,,,,,,
McColgans Quality Foods Limited,2013-14,"30,000","554,000",Creating Jobs / Capital Investment / Business Development,11,Northern Ireland,Local,Existing,WEST TYRONE,Derry City and Strabane,10130,Manufacturing,Dublin Road Industrial Estate, , ,Strabane,County Tyrone,BT82 9EA
The Orchardville Company Limited,2013-14,"30,000","292,000",Creating Jobs / Capital Investment / Business Development,10,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,38320,"Water Supply; Sewerage, Waste Management And Remediation Activities",Lagan Village Tower,144-152 Ravenhill Road, ,Belfast,County Down,BT6 8ED
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Skyline Direct Limited,2013-14,"10,445","34,969",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST NORTH,Belfast,64999,Financial And Insurance Activities,6-16 Duncrue Crescent, , ,Belfast,County Antrim,BT3 9BW
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,LAGAN VALLEY,Lisburn and Castlereagh,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,NORTH DOWN,Ards and North Down,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,NORTH DOWN,Ards and North Down,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,WEST TYRONE,Fermanagh and Omagh,96090,Other Service Activities,,,,,,
The Training and Recruitment House Ltd,2013-14,"2,245","5,210",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",78109,Administrative And Support Service Activities,51 Church Street, , ,Portadown,County Armagh,BT62 3EU
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,EAST LONDONDERRY,Causeway Coast and Glens,96090,Other Service Activities,,,,,,
WD Meats,2014-15,"99,746","383,638",Developing Skills,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,10110,Manufacturing,Lower Newmills Road, , ,Coleraine,County Londonderry,BT52 2JR
Advanced Oncotherapy,2013-14,"40,725","54,300",Investing in R&D                    ,0,Great Britain,External,Existing,X Outside NI,X Outside NI,32500,Manufacturing,86 Gloucester Place, , ,London, ,W1U 6HP
A N E Solutions Ltd,2013-14,"30,000","142,000",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,New,NORTH ANTRIM,Mid and East Antrim,71129,"Professional, Scientific And Technical Activities",Unit 4 Ballykeel Business Centre,18 Crebilly Road, ,Ballymena,County Antrim,BT42 4DN
Smiley Monroe Limited,2014-15,"300,000","2,618,000",Creating Jobs / Capital Investment / Business Development,31,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,28920,Manufacturing,23 Ferguson Drive,Knockmore Hill Industrial Park, ,Lisburn,County Antrim,BT28 2EX
Carritech Research Limited,2013-14,"5,000","12,140",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,10821,Manufacturing,6 Osborne Drive, , ,Belfast,County Antrim,BT9 6LG
Carritech Research Limited,2013-14,"5,000","12,030",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,10821,Manufacturing,6 Osborne Drive, , ,Belfast,County Antrim,BT9 6LG
Carritech Research Limited,2013-14,"5,000","12,100",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,10821,Manufacturing,6 Osborne Drive, , ,Belfast,County Antrim,BT9 6LG
Qubizm Limited,2013-14,"5,000","15,350",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,85590,Education,Suite 1.5 The Innovative Centre,Northern Ireland Science Park,Bay Road,Derry,County Londonderry,BT48 7TG
Scott Vanguard Limited,2013-14,"1,800","3,600",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,77210,Administrative And Support Service Activities,12 Comber Road, , ,Hillsborough,County Down,BT26 6LN
Scott Vanguard Limited,2013-14,900,"1,800",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,77210,Administrative And Support Service Activities,12 Comber Road, , ,Hillsborough,County Down,BT26 6LN
Scott Vanguard Limited,2013-14,"5,000","12,000",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,77210,Administrative And Support Service Activities,12 Comber Road, , ,Hillsborough,County Down,BT26 6LN
Probably Econoliser,2013-14,"1,025","2,050",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST EAST,Lisburn and Castlereagh,20200,Manufacturing,Unit C17 Dundonald Enterprise Park,Carrowreagh Road, ,Dundonald,County Down,BT16 1QT
Weld-Tech Engineering Services Limited,2013-14,"48,654","108,120",Investing in R&D                    ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,25990,Manufacturing,16 Castleroddy Road, , ,Omagh,County Tyrone,BT79 7UA
CK International Limited,2013-14,"39,338","98,344",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,28220,Manufacturing,38a Eglish Road, , ,Dungannon,County Tyrone,BT70 1LA
Fabrite Engineering Limited,2013-14,"30,800","93,000",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,42990,Construction,4c Hallstown Road,Upper Ballinderry, ,Lisburn,County Antrim,BT28 2NE
Terex,2014-15,"570,807","4,449,056",Other,0,United States of America,External,Existing,MID ULSTER,Mid Ulster,28920,Manufacturing,200 Coalisland Road, , ,Dungannon,County Tyrone,BT71 4DR
Landed,2013-14,"21,000","132,000",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,63990,Information And Communication,36B The Promenade, , ,Portstewart,County Londonderry,BT55 7AE
Loyalty Living Limited,2013-14,"28,000","128,000",Creating Jobs / Capital Investment / Business Development,4,Northern Ireland,Local,Existing,FOYLE,Derry City and Strabane,62020,Information And Communication,Ceased Trading,,,,,
Oakfield Engineering,2013-14,"1,150","2,300",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,71129,"Professional, Scientific And Technical Activities",53 Gorteade Road,Upperlands, ,Maghera,County Londonderry,BT46 5SA
Design ID Consulting Limited,2013-14,"17,000","192,500",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,New,LAGAN VALLEY,Lisburn and Castlereagh,42990,Construction,13 Main Street, , ,Hillsborough,County Down,BT26 6AE
Concept Services (NI) Ltd,2013-14,"18,000","45,000",Other,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,81222,Administrative And Support Service Activities,229 -230 City Business Park,Concept House,Dunmurry,Belfast,County Antrim,BT17 9HY
C60 Limited,2013-14,"1,533","5,140",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,71110,"Professional, Scientific And Technical Activities",3 Glenburn Park, , ,Bangor,County Down,BT20 5RG
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,000","18,000",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,WEST TYRONE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Kubrix Design,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST NORTH,Belfast,96090,Other Service Activities,98 Lisburn Road, , ,Belfast,County Antrim,BT9 6AG
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST SOUTH,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Harlequin,2013-14,"12,720","31,800",Other,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,22220,Manufacturing,21 Clarehill Road, , ,Moira,County Down,BT67 0PB
Mallaghan Engineering Limited,2013-14,"19,013","53,125",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Mid Ulster,28220,Manufacturing,69 Coalisland Road, , ,Dungannon,County Tyrone,BT71 6LA
Naturelle Consumer Products Limited,2014-15,"110,482","368,273",Developing Skills,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,21200,Manufacturing,Unit 5 Bankmore Way East Industrial Estate,Doogary, ,Omagh,County Tyrone,BT79 0NZ
Acorn IT Solutions Limited,2013-14,"8,015","16,030",Developing Skills,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,62020,Information And Communication,59 - 61 Maghera Street,Kilrea, ,Coleraine,County Londonderry,BT51 5QL
H3 Insurance,2013-14,"30,000","189,000",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,64190,Financial And Insurance Activities,Channel Wharf,21 Old Channel Road, ,Belfast,County Down,BT3 9DE
Environmental Products and Services Ltd,2013-14,"3,200","6,400",Other,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",71129,"Professional, Scientific And Technical Activities",Unit 5 Shepherds Drive,Carnbane Industrial Estate, ,Newry,County Armagh,BT35 6JQ
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,BELFAST WEST,Belfast,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,NORTH ANTRIM,Causeway Coast and Glens,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,MID ULSTER,Mid Ulster,96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,SOUTH DOWN,"Newry, Mourne and Down",96090,Other Service Activities,,,,,,
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,SOUTH DOWN,"Newry, Mourne and Down",96090,Other Service Activities,,,,,,
Harlequin,2013-14,"275,000","845,000",Creating Jobs / Capital Investment / Business Development,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,22220,Manufacturing,21 Clarehill Road, , ,Moira,County Down,BT67 0PB
Holland Brothers (Engineering) Limited,2013-14,"35,000","182,000",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,25620,Manufacturing,Unit 14 Craigstown Industrial Estate, , ,Randalstown,County Antrim,BT41 2PT
Fast Engineering Limited,2013-14,"35,805","286,800",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,22290,Manufacturing,5 Windmill Court,Greystone Road, ,Antrim,County Antrim,BT41 2TX
The Present Tree Ltd,2013-14,"2,480","5,666",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,47910,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,1 Ballyarnot Road, , ,Crumlin,County Antrim,BT29 4DT
Charlotte's Webb,2013-14,"5,006","12,515",Other,0,Northern Ireland,Local,New,EAST LONDONDERRY,Causeway Coast and Glens,47990,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,36A Kilhoyle Road,Drumsurn, ,Limavady,County Londonderry,BT49 0PU
Brian Scott Engineering Limited,2013-14,"4,657","13,696",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,28920,Manufacturing,72 Kurin Road,Garvagh, ,Coleraine,County Londonderry,BT51 5NT
Smiley Monroe Limited,2013-14,"75,334","239,499",Developing Skills,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,28920,Manufacturing,23 Ferguson Drive,Knockmore Hill Industrial Park, ,Lisburn,County Antrim,BT28 2EX
Charlotte's Webb,2013-14,"7,000","33,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,47990,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,36A Kilhoyle Road,Drumsurn, ,Limavady,County Londonderry,BT49 0PU
Westwood Marine Leisure Limited,2013-14,"170,937","379,860",Investing in R&D                    ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,30110,Manufacturing,Hangar 5 62,Killadeas Road, ,Enniskillen,County Fermanagh,BT94 2FP
Logicearth Learning Services Ltd,2013-14,"38,380","95,950",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62012,Information And Communication,Unit 2 & 3 Hawthorn House,Hawthorn Business Park,Wildflower Way,Belfast,County Antrim,BT12 6TA
Bruce Engineering Services (NI) Ltd,2013-14,"92,890","273,207",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28920,Manufacturing,33 Lindesayville Road,Tullyhogue, ,Cookstown,County Tyrone,BT80 8UH
Europa Valves Limited,2013-14,"96,677","354,025",Investing in R&D                    ,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",28140,Manufacturing,15  Carrigs Road, , ,Newcastle,County Down,BT33 0JZ
JD'S Catering Supplies,2013-14,"7,000","37,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,32990,Manufacturing,41 Castle Road, , ,Cookstown,County Tyrone,BT80 8TN
Datum Tool Design Ltd,2013-14,"61,401","172,998",Investing in R&D                    ,0,Northern Ireland,Local,Existing,STRANGFORD,"Newry, Mourne and Down",71129,"Professional, Scientific And Technical Activities","Unit 1, Factory 1","McGraths Buildings, Lissue Walk",Lissue Industrial Estate,LISBURN,County Antrim,BT28 2SU
New Found Joy Limited,2013-14,"2,935","5,870",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Armagh City, Banbridge and Craigavon",10890,Manufacturing,30-32 Queens Place,Lurgan, ,Craigavon,County Armagh,BT66 8BY
Fleet Maintenance Ireland Ltd,2013-14,"51,800","108,039",Investing in R&D                    ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",28220,Manufacturing,Annesborough Industrial Estate, , ,Lurgan,County Armagh,BT67 9JD
McAllister Bros Limited,2013-14,"24,000","60,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",81229,Administrative And Support Service Activities,91 Drumalane Road, , ,Newry,County Armagh,BT35 8QJ
Name cannot be released,2013-14,"1,000","9,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,FOYLE,Derry City and Strabane,96090,Other Service Activities,,,,,,
Bio-Kinetic Europe Limited,2013-14,"99,000","1,185,000",Creating Jobs / Capital Investment / Business Development,11,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,72100,"Professional, Scientific And Technical Activities",Ceased Trading,,,,,
European Space Propulsion Limited,2013-14,"50,000","108,970",Investing in R&D                    ,0,United States of America,External,Existing,BELFAST EAST,Belfast,25400,Manufacturing,Ceased Trading,,,,,
J.M.F. Ltd.,2013-14,"10,000","20,950",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH ANTRIM,Causeway Coast and Glens,28920,Manufacturing,Ceased Trading,,,,,
FW Supplies,2013-14,"15,000","94,400",Creating Jobs / Capital Investment / Business Development,3,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,32990,Manufacturing,101a Oldtown Road, ,Castledawson,Magherafelt,County Londonderry,BT45 8BZ
FW Supplies,2013-14,"7,240","22,100",Other,0,Northern Ireland,Local,New,MID ULSTER,Mid Ulster,32990,Manufacturing,101a Oldtown Road, ,Castledawson,Magherafelt,County Londonderry,BT45 8BZ
Firefly,2013-14,"3,375","6,750",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,28990,Manufacturing,Unit 4-7 Steeple Industrial Estate, , ,Antrim,County Antrim,BT41 1AB
493K Limited,2013-14,"10,000","67,080",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,Existing,EAST ANTRIM,Mid and East Antrim,71121,"Professional, Scientific And Technical Activities",23 Watch Hill Road, , ,Ballyclare,County Antrim,BT39 9QW
Warwick Engineering (NI) Ltd,2013-14,"42,000","227,440",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,NORTH ANTRIM,Mid and East Antrim,25110,Manufacturing,67a Whappstown Road,Moorfields, ,Ballymena,County Antrim,BT42 3DB
Bog Standard Products,2013-14,"7,901","17,961",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,LAGAN VALLEY,Lisburn and Castlereagh,20411,Manufacturing,19A  Monlough Road West,Ballygowan, ,Newtownards,County Down,BT23 6ND
Alexandra,2013-14,"8,300","16,600",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,46420,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Unit 63 Dunlop Commercial Park,4 Balloo Drive, ,Bangor,County Down,BT19 7QY
Ross Boyd Limited,2014-15,"15,000","89,000",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,69201,"Professional, Scientific And Technical Activities",Thomas House,14 - 16 James Street South, ,Belfast,County Antrim,BT2 7GA
Name cannot be released,2013-14,"1,500","10,000",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,New,EAST LONDONDERRY,Causeway Coast and Glens,96090,Other Service Activities,,,,,,
Westwood Marine Leisure Limited,2013-14,"6,155","13,085",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,FERMANAGH AND SOUTH TYRONE,Fermanagh and Omagh,30110,Manufacturing,Hangar 5 62,Killadeas Road, ,Enniskillen,County Fermanagh,BT94 2FP
Treze Limited,2013-14,"49,166","102,430",Investing in R&D                    ,0,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62010,Information And Communication,Carnbane Business Centre,Carnbane Business Park,,Newry,County Down,BT35 6QH
A.Farlow (Engineering) Ltd,2013-14,"42,000","207,600",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,EAST LONDONDERRY,Causeway Coast and Glens,25910,Manufacturing,39 Ballynameen Road, , ,Garvagh,County Londonderry,BT51 5PN
Phlok Ltd,2013-14,"5,000","13,600",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NEWRY AND ARMAGH,"Newry, Mourne and Down",62010,Information And Communication,Ceased Trading,,,,,
Sysco Software (N.I.) Limited,2013-14,"28,406","96,546",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,62010,Information And Communication,2  Cromac Place,Cromac Wood,Ormeau Road,Belfast,County Antrim,BT7 2JB
Northern Hydraulics Ltd,2013-14,"8,794","17,588",Investing in R&D                    ,0,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,28920,Manufacturing,63 Gortgonis Road, , ,Coalisland,County Tyrone,BT71 4QG
Team Solutionz Ltd,2013-14,"2,750","5,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,63990,Information And Communication,14A Kilbegs Road,antrim, ,Antrim,County Antrim,BT41 4NN
O'Neill Electrics Limited,2013-14,"2,250","4,500",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,WEST TYRONE,Fermanagh and Omagh,43210,Construction,93 Tummery Road, , ,Dromore,County Tyrone,BT78 3LJ
Hair Box Ltd,2013-14,820,"1,640",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,NORTH DOWN,Ards and North Down,82990,Administrative And Support Service Activities,19b New Road, , ,Donaghadee,County Down,BT21 0DR
Pacc Engineering Limited,2013-14,"39,000","223,000",Creating Jobs / Capital Investment / Business Development,5,Northern Ireland,Local,New,MID ULSTER,Mid Ulster,25110,Manufacturing,4b Tulnacross Road, , ,Cookstown,County Tyrone,BT80 9NH
A27 Engineering,2013-14,"1,650","3,300",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,UPPER BANN,"Armagh City, Banbridge and Craigavon",29320,Manufacturing,6  Unshinagh Lane,Portadown, ,Craigavon,County Armagh,BT62 3RL
World Travel Centre Limited,2013-14,"42,000","206,000",Creating Jobs / Capital Investment / Business Development,6,Northern Ireland,Local,Existing,BELFAST SOUTH,Belfast,79110,Administrative And Support Service Activities,Ground Floor Murray's Exchange,1 Linfield Road, ,Belfast,County Antrim,BT12 5DR
Firesafe Fire Protection Services,2013-14,"13,000","93,800",Creating Jobs / Capital Investment / Business Development,2,Northern Ireland,Local,New,MID ULSTER,Mid Ulster,74909,"Professional, Scientific And Technical Activities",Unit 2 Derryloran Business Centre,Derryloran Industrial Estate,Sandholes Road,Cookstown,County Tyrone,BT80 9LU
MMD Communications Ltd,2013-14,"77,000","522,000",Creating Jobs / Capital Investment / Business Development,11,Northern Ireland,Local,Existing,MID ULSTER,Mid Ulster,61200,Information And Communication,53 Main Street, , ,Coalisland,County Tyrone,BT71 4NB
SLA,2013-14,"49,050","204,142",Creating Jobs / Capital Investment / Business Development,1,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,63990,Information And Communication,The Innovation Centre,Northern Ireland Science Park,Queen's Road,Belfast,County Down,BT3 9DT
Oakfield Cabinets Limited,2013-14,"2,632","5,720",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,SOUTH ANTRIM,Antrim and Newtownabbey,31020,Manufacturing,5 Orchard Close,Greystone Road, ,Antrim,County Antrim,BT41 2RZ
Harty Design,2013-14,"1,200","3,000",Other,0,Northern Ireland,Local,Existing,SOUTH DOWN,"Newry, Mourne and Down",74100,"Professional, Scientific And Technical Activities",Ceased Trading,,,,,
Marlborough Engineering Limited,2013-14,"18,290","69,789",Developing Innovation & Technology  ,0,Northern Ireland,Local,Existing,BELFAST EAST,Belfast,25620,Manufacturing,67 Sydenham Road, , ,Belfast,County Down,BT3 9DJ
